epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2974,2.35448,2.48742,2.72306,2.58926,0.57682,0.09096,0.0634,0.0256,0,0,0,0,2.22441,2.08862,2.28804,2.26889,0.000544771,0.000544771,0.000544771
2,32.8501,2.13103,2.47412,2.53851,2.32676,0.62505,0.06835,0.04788,0.018,9e-05,0.00103,5e-05,1e-05,2.53612,2.32138,2.34853,2.41359,0.00106412,0.00106412,0.00106412
3,48.2251,2.16724,2.48147,2.44459,2.35223,0.61263,0.08016,0.0584,0.02481,0,0,0,0,2.36291,2.13113,2.26161,2.42644,0.0015468,0.0015468,0.0015468
4,63.2201,2.1491,2.47368,2.43408,2.32295,0.58719,0.0889,0.03613,0.01331,0,0,0,0,2.83398,2.06581,2.53116,3.01072,0.00150197,0.00150197,0.00150197
5,78.4535,2.09718,2.43949,2.38588,2.29526,0.55304,0.1742,0.03952,0.01497,0,0,0,0,2.56945,2.13999,2.39507,2.69882,0.00144696,0.00144696,0.00144696
6,93.7944,2.04232,2.32464,2.35276,2.26623,0.0712,0.14697,0.05092,0.02022,4e-05,0.00051,2e-05,0,2.09106,2.01975,2.29827,2.31352,0.00139195,0.00139195,0.00139195
7,109.26,2.03852,2.3453,2.31944,2.2763,0.0891,0.12346,0.07766,0.0295,0,0,0,0,2.10426,2.02809,2.38042,2.27969,0.00133693,0.00133693,0.00133693
8,125.201,2.06261,2.45448,2.4213,2.27571,0.5988,0.14907,0.07218,0.02708,0,0,0,0,2.27463,2.05761,2.22139,2.45964,0.00128192,0.00128192,0.00128192
9,141.088,2.01754,2.41551,2.37704,2.26568,0.60336,0.11459,0.06552,0.02457,0,0,0,0,2.19406,2.06796,2.26787,2.33991,0.00122691,0.00122691,0.00122691
10,156.112,2.00113,2.29827,2.3466,2.24491,0.63153,0.09404,0.06912,0.02648,0,0,0,0,2.32226,2.03538,2.25902,2.46599,0.0011719,0.0011719,0.0011719
11,172.312,1.98231,2.35379,2.34162,2.23651,0.1322,0.1074,0.09491,0.03734,0,0,0,0,2.04034,2.05624,2.22718,2.29323,0.00111689,0.00111689,0.00111689
12,187.602,1.95663,2.2674,2.33858,2.21645,0.13108,0.14491,0.10528,0.04502,0,0,0,0,1.96971,1.98643,2.07238,2.23404,0.00106188,0.00106188,0.00106188
13,203.038,1.92515,2.30664,2.32101,2.20329,0.63167,0.14696,0.10256,0.04384,0,0,0,0,1.97178,1.97364,2.00986,2.19589,0.00100687,0.00100687,0.00100687
14,217.997,1.95083,2.42656,2.41867,2.2347,0.64371,0.13464,0.10529,0.04615,0,0,0,0,1.91069,1.98004,2.02067,2.17273,0.000951857,0.000951857,0.000951857
15,233.331,1.9178,2.36678,2.30732,2.17809,0.63459,0.11562,0.09152,0.03926,0,0,0,0,1.99599,1.96272,2.05323,2.29833,0.000896846,0.000896846,0.000896846
16,248.448,1.89276,2.30172,2.28825,2.16519,0.64263,0.12641,0.09966,0.04208,0,0,0,0,1.9788,1.96925,2.04631,2.21259,0.000841835,0.000841835,0.000841835
17,263.954,1.90512,2.24237,2.27788,2.18112,0.65882,0.12127,0.10965,0.0489,0,0,0,0,1.95321,1.91303,2.05239,2.20635,0.000786824,0.000786824,0.000786824
18,285.163,1.88581,2.24103,2.22456,2.19053,0.63154,0.14072,0.10192,0.04536,0,0,0,0,1.9098,1.91943,2.06844,2.17812,0.000731813,0.000731813,0.000731813
19,328.598,1.89506,2.27797,2.32316,2.19932,0.6093,0.13412,0.08771,0.03987,0,0,0,0,1.88085,1.92545,2.10366,2.17034,0.000676802,0.000676802,0.000676802
20,375.653,1.8455,2.32222,2.28623,2.16166,0.59744,0.11768,0.07938,0.03483,8e-05,0.00103,4e-05,2e-05,1.87296,1.90871,2.12301,2.16303,0.000621791,0.000621791,0.000621791
21,428.872,1.96762,1.88502,2.72105,2.3616,0.09471,0.11305,0.07335,0.03147,0,0,0,0,1.87609,1.9224,2.20808,2.13853,0.00056678,0.00056678,0.00056678
22,473.126,1.8384,1.86942,2.48404,2.26693,0.12676,0.1316,0.08305,0.03808,4e-05,0.00051,2e-05,1e-05,1.82197,1.89948,2.15712,2.10218,0.000511769,0.000511769,0.000511769
